Column Name,RW Map Rule,CTR Map Rule,RW Alias
Asset Date Adjustment,,,
Asset Notional,round_to_2decimal,round_to_2decimal,
Asset Reset Dates,replace_bar_with_comma,,
Asset Reset Freq,asset_reset_freq_remap,,
Asset Resets,replace_bar_and_remove_trailing_zeros,remove_zerovalue_resets,
Asset Return Dates,replace_bar_with_comma,,
Asset StubMode,replace_under_score,,
End Date,,,
FI Applied Period Dates,replace_bar_with_comma,,
FI Compounding Method,replace_under_score,,
FI Date Adjust,,,
FI DayCount,,,
FI Forward Curve,,,
FI PayLag Convention,,,
FI Period Dates,replace_bar_with_comma,,
FI Payment Dates,replace_bar_with_comma,,
FI Reset Arrears,,,
FI Reset Dates,replace_bar_with_comma,,
FI Reset Freq,,,
FI Reset Holiday,,,
FI Reset Lag,,,
FI Resets,replace_bar_and_remove_trailing_zeros,remove_zerovalue_resets,
FI Spread,,,
FI Stub Mode,replace_under_score,,
GL Account,,,
GL Notional,remove_decimals,remove_decimals,
Group ID,,,
ID,remove_colon,,
Include Notional,,,
Issue Date,,,
Notional Adj Asset Resets,,,
Notional Adj Rate Resets,,,
Product Category,,,
Rec Rate,,,
Underlying Instrument,,,
