Column Name,CTR Map Rule,RW Map Rule,RW Alias
Adjustable Basket,,,
Asset Day Type,,,
Asset First Roll Date,,,
Asset Payment Holiday,,,
Asset Reset Dates,,replace_bar_with_comma,
Asset Reset Freq,,,
Asset Reset Holiday,,,
Asset Resets,,replace_bar_and_remove_trailing_zeros,
Asset Return Dates,,replace_bar_with_comma,
Asset StubMode,,,
Buy,,replace_with_Buy_Sell,
Cards ID,,,
Dividend Cashflow,,,
Facility ID,,,
FI 1st Payment Date,,,
FI Applied Period Dates,,replace_bar_with_comma,
FI Bullet,remove_dash,,
FI Compounding Method,,,
FI Day Type,,,
FI DayCount,,,
FI Fees,,remove_bracket_dash_replace_bar_remove_trailing_zeros,
FI Forward Curve,,,
FI Index Frequencies,,,
FI Notional,,,
FI PayLag Convention,,,
FI Payment Dates,,replace_bar_with_comma,
FI Payment Holiday,,,
FI Period Dates,,replace_bar_with_comma,
FI Reset Dates,,,
FI Reset Holiday,,,
FI Resets,,replace_bar_and_remove_trailing_zeros,
FI Spec IndexFreqUnit,,replace_MONTH_YEAR,
FI Spec PayFreqUnit,,replace_MONTH_YEAR,
FI Spec ResetFreqUnit,,replace_MONTH_YEAR,
FI Spread,,replace_bar_and_remove_trailing_zeros,
FI Stub Mode,,,
FI UpFront Fee,,,
Gen Dates Based On FI,,,
GL Account,,,
GL Notional,,,
Group ID,,,
Include Notional,,,
Maturity Date,,,
Notional - Disclosure,,,
Notional Adj Asset Resets,,replace_bar_and_remove_trailing_zeros,
Notional Adj Rate Resets,,replace_bar_with_comma,
Notional Adjustments,,remove_bracket_dash_replace_bar_remove_trailing_zeros,
Product Category,,,
Rec Rate,,,
Reference Asset Type,,,
Trading,,,
Underlying Instrument,replace_basket,replace_basket,
Underlying Type,,,
Units,round_to_3decimal,round_to_3decimal,
